StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Pre-Test,Post-Test,Learning Gain,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,mood_neutral,mood_down,mood_up,mood_q,attention_yes,attention_no,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
457,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,7.5,9.5,2.0,4,1287,287,269,97,4,4,0,94,5,6,0,105,0,87,4,3,0
458,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,7,14,7.0,2,1797,325,318,94,1,10,0,99,0,5,1,105,0,90,0,9,0
459,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,5.5,12.5,7.0,2,1380,243,223,100,3,3,2,91,10,4,3,108,0,88,2,1,0
460,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,14,12.5,-1.5,1,2485,488,488,93,2,3,8,87,4,6,9,99,7,83,2,2,0
461,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,9,24.5,15.5,0,1818,374,363,103,0,2,0,101,0,4,0,105,0,99,0,2,0
462,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,11.5,22.5,11.0,1,2138,438,431,99,5,0,3,100,1,6,0,107,0,92,5,0,3
463,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,10.5,19,8.5,0,2231,417,408,98,7,0,0,96,3,5,1,105,0,91,5,0,0
464,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,9,17.5,8.5,1,1650,374,364,98,5,2,3,91,10,4,3,105,3,88,2,1,0
465,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,6,11.5,5.5,2,1926,353,345,104,1,3,0,97,3,7,1,108,0,93,1,3,0
466,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,5.5,5.5,0.0,6,1273,231,218,102,2,3,0,96,7,4,0,107,0,95,1,0,0
467,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,10.5,14,3.5,3,1372,246,224,98,1,7,0,97,5,3,1,106,0,92,1,4,0
469,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,8,16,8.0,3,1493,348,330,101,5,2,0,95,6,7,0,108,0,90,3,2,0
5201,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,9,17.5,8.5,3,369,232,217,127,0,8,0,117,14,4,0,135,0,113,0,4,0
5203,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,3.5,7,3.5,1,267,207,152,115,1,1,30,112,2,3,30,117,30,110,1,1,0
5204,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,10.5,19,8.5,2,375,284,240,145,0,2,1,142,1,5,0,148,0,140,0,1,1
5205,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,8,9.5,1.5,3,410,234,211,142,0,5,0,132,9,6,0,147,0,128,0,4,0
5206,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,4,6.5,2.5,2,324,208,131,142,3,3,0,133,8,7,0,148,0,131,1,1,0
5207,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,16.5,25,8.5,2,395,316,301,131,3,0,13,135,0,6,6,145,2,124,3,0,8
5208,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,12.5,23.5,11.0,1,400,318,298,76,2,0,70,75,1,2,70,78,70,73,2,0,0
5209,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,12.5,15,2.5,1,398,262,241,79,0,0,69,76,2,1,69,79,69,76,0,0,0
5210,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,18.5,24.5,6.0,3,393,251,242,131,6,12,0,126,18,4,1,149,0,115,4,7,0
5211,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,8,11.5,3.5,3,319,248,214,135,7,2,3,113,25,6,3,145,2,110,1,2,0
5212,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,14,10,-4.0,1,312,158,133,61,0,2,2,63,0,0,2,63,2,61,0,2,0
5213,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,12,17.5,5.5,0,406,228,220,132,13,3,1,135,9,5,0,149,0,124,8,2,1
5214,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,9,9.5,0.5,8,326,181,131,134,10,2,1,94,43,8,2,147,0,92,2,0,0
5215,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,9,17,8.0,2,396,300,264,129,15,2,1,126,9,12,0,147,0,112,12,1,1
5216,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,15.5,19,3.5,1,410,364,325,131,5,8,3,139,4,4,0,147,0,127,3,6,3
5217,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,8.5,16.5,8.0,0,390,254,234,135,6,6,1,130,7,10,1,148,0,121,3,6,0
5218,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,9,13.5,4.5,2,347,271,231,138,2,5,2,130,8,8,1,147,0,124,0,4,2
5219,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,11,20.5,9.5,1,411,317,302,148,0,0,0,141,1,6,0,148,0,141,0,0,0
5220,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,10,17,7.0,4,373,341,309,141,3,2,1,134,7,4,2,147,0,131,1,2,0
5221,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,12.5,17,4.5,2,370,219,196,139,0,0,8,134,9,3,1,147,0,129,0,0,5
5222,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,5.5,12,6.5,1,402,313,256,142,1,3,1,134,7,5,1,147,0,131,1,2,0
5223,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,8.5,17,8.5,0,418,337,286,145,1,1,0,140,2,5,0,147,0,138,1,1,0
5224,TAFA,1,paper,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,24.0,9.5,21.5,12.0,0,364,341,298,142,1,4,0,134,6,6,1,147,0,129,1,4,0
344,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,12.5,21,8.5,0,1226,520,513,93,2,2,30,88,6,1,32,97,30,88,0,0,0
345,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,3.5,8.75,5.25,3,894,478,428,122,4,0,1,122,2,2,1,126,1,120,2,0,0
346,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,10,11.25,1.25,4,603,366,347,112,6,2,7,100,15,1,11,123,4,94,6,0,0
347,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,5.5,5.5,0.0,0,653,339,296,61,0,2,66,60,3,0,66,63,66,58,0,2,0
348,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,10,20.5,10.5,1,1190,446,441,108,5,0,16,90,14,1,24,113,16,90,0,0,0
350,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,7,8.25,1.25,0,810,388,362,54,0,8,67,52,10,0,67,63,66,49,0,3,0
351,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,12,17.5,5.5,0,1243,508,500,124,0,3,0,120,6,1,0,127,0,118,0,2,0
352,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,12.5,13,0.5,4,783,427,392,114,3,9,1,106,16,0,5,126,1,101,0,5,0
353,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,7.5,5.5,-2.0,7,487,247,224,108,4,0,15,105,1,2,19,112,15,103,2,0,0
354,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,3.5,17.5,14.0,0,642,403,384,128,0,1,0,121,7,1,0,129,0,120,0,1,0
355,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,10.5,17.25,6.75,1,766,427,411,120,2,5,0,122,4,1,0,127,0,115,2,5,0
356,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,15,24.5,9.5,1,818,492,477,121,2,2,2,111,14,0,2,125,2,109,0,2,0
357,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,4.5,13.5,9.0,0,864,466,417,125,0,2,0,120,7,0,0,127,0,119,0,1,0
358,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,13,20.5,7.5,1,1029,498,494,120,0,7,2,106,15,0,8,127,2,101,0,5,0
359,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,14.5,22,7.5,0,1131,524,522,125,0,0,2,122,3,0,2,127,0,122,0,0,0
360,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,8.5,19.5,11.0,2,888,500,464,111,4,10,2,104,17,0,6,127,0,97,2,5,0
361,South Shore,1,tablet,NA,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,10.5,18,7.5,1,1360,573,571,124,2,3,0,121,4,2,2,129,0,117,2,2,0
363,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,12.5,17,4.5,0,1067,514,510,89,7,2,29,84,6,0,37,98,29,78,4,2,0
364,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,16.5,22.5,6.0,0,911,551,546,123,3,3,0,111,13,1,4,129,0,106,2,3,0
365,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,13.5,18.75,5.25,2,1083,488,481,123,0,4,0,115,9,1,2,127,0,112,0,3,0
366,South Shore,1,tablet,NA,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,6,9,3.0,2,866,407,347,114,11,1,3,111,13,0,5,126,3,103,7,1,0
367,South Shore,1,tablet,NA,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,9,7.5,-1.5,1,571,360,328,125,0,2,0,106,15,0,6,127,0,106,0,0,0
368,South Shore,1,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,27.0,9.5,12,2.5,8,466,254,242,122,4,0,1,103,16,1,7,126,1,103,0,0,0
375,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,10,16.5,6.5,2,746,338,321,99,4,0,0,90,7,4,2,103,0,86,4,0,0
376,South Shore,4,tablet,NA,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,10,17.5,7.5,1,1622,532,470,70,0,0,33,68,0,2,33,70,33,68,0,0,0
377,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,5,9.5,4.5,6,618,344,235,70,25,9,0,63,37,2,2,104,0,44,13,6,0
378,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,12,24.5,12.5,0,1587,520,509,95,0,8,0,93,7,1,2,103,0,87,0,6,0
379,South Shore,4,tablet,no,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,4.5,8,3.5,0,618,274,221,49,1,0,54,48,1,1,54,50,54,47,1,0,0
